Iowa DOT Case Number,Law Enforcement Case Number,Date of Crash,Month of Crash,Day of Week,Time of Crash,Hour,DOT District,City Name,County Name,Route with System,Location Description,First Harmful Event,Location of First Harmful Event,Manner of Crash/Collision,Major Cause,Drug or Alcohol ,Environmental Conditions,Light Conditions,Surface Conditions,Weather Conditions,Roadway Contribution,Roadway Type,Roadway Surface,Work Zone,Crash Severity,Number of Fatalities,Number of Injuries,Number of Major Injuries,Number of Minor Injuries,Number of Possible Injuries,Number of Unknown Injuries,Amount of Property Damage,Number of Vehicles Involved,Total Number of Occupants,Travel Direction,Location
20251465979,C25000388,01/28/2025,01-January,3-Tuesday,08:10,0800 Hours,District 6 (East Central),CORALVILLE,JOHNSON,US 6,US 6 E,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,11000,2,2,Southbound (SB),POINT (-91.573376690436 41.671343457273)
20251466957,2025002351,01/28/2025,01-January,3-Tuesday,12:42,1200 Hours,District 3 (Northwest),,PLYMOUTH,77,NB K18/C12,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Ran Stop Sign,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Fatal,1,0,0,0,0,0,80250,2,2,Northbound (NB),POINT (-96.469767259741 42.89501342296)
20251465981,SOP202500077,01/28/2025,01-January,3-Tuesday,07:00,0700 Hours,District 6 (East Central),,IOWA,77,2300 BLK U AVENUE,Collision with:  Animal,Unknown,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,4500,1,1,Northbound (NB),POINT (-91.910303467883 41.670348622514)
20251466065,25-000099,01/28/2025,01-January,3-Tuesday,09:13,0900 Hours,District 1 (Central),,STORY,I-35,I-35 SB PASSING HIGHWAY 30,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",FTYROW:  Other (explain in narrative),None Indicated,None apparent,Daylight,Dry,Clear,Disabled vehicle,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,6500,2,3,Eastbound (EB),POINT (-93.571229863454 42.004025719809)
20251466344,2025-02859,01/28/2025,01-January,3-Tuesday,08:07,0800 Hours,District 5 (Southeast),INDIANOLA,WARREN,77,111 N BUXTON ST BUILDING,Collision with fixed object:  Building,On Roadway,Non-collision (single vehicle),Improper Backing,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Alley,Paved,,Property Damage Only,0,0,0,0,0,0,4500,1,1,Northbound (NB),POINT (-93.5636685874 41.360855933931)
20251466154,25-0101,01/28/2025,01-January,3-Tuesday,16:45,1600 Hours,District 1 (Central),PLEASANT HILL,POLK,77,5000 MAPLE DR,Collision with fixed object:  Traffic sign support,On Roadway,Non-collision (single vehicle),Driver Distraction:  Other interior distraction,None Indicated,None apparent,Dusk,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,2650,1,1,Southbound (SB),POINT (-93.516372749425 41.597901504547)
20251466084,25SC02510,01/28/2025,01-January,3-Tuesday,21:50,2100 Hours,District 3 (Northwest),SIOUX CITY,WOODBURY,77,OUTER DR NORTH,Collision with:  Animal,Unknown,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,1500,1,1,Southbound (SB),POINT (-96.376102594859 42.537835252583)
20251466244,2025002374,01/28/2025,01-January,3-Tuesday,16:30,1600 Hours,District 6 (East Central),,CLINTON,77,HWY 136 AND 150TH AVE,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Passing:  On wrong side,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Unpaved,,Possible/Unknown,0,2,0,0,2,0,6000,2,2,Northbound (NB),POINT (-90.801106390892 41.97436776644)
20251466133,2025-2079,01/28/2025,01-January,3-Tuesday,10:38,1000 Hours,District 6 (East Central),DAVENPORT,SCOTT,77,FERNWOOD AVE AND EAST 32ND ST,Collision with fixed object:  Ground,On Roadway,Non-collision (single vehicle),Lost Control,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Minor Injury,0,1,0,1,0,0,2000,1,1,Northbound (NB),POINT (-90.532600097996 41.552934875523)
20251466050,2505734,01/28/2025,01-January,3-Tuesday,18:50,1800 Hours,District 6 (East Central),,CLINTON,IA-136,IA 136 N MEASURING 1568 FEET WEST FROM 115TH AVE,Collision with:  Animal,Unknown,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,3000,1,1,Northbound (NB),POINT (-90.874917234272 41.967923151486)
20251466191,2025-6283,01/28/2025,01-January,3-Tuesday,14:57,1400 Hours,District 6 (East Central),DAVENPORT,SCOTT,77,SOUTH CONCORD ST,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction","Operating vehicle in an reckless, erratic, careless, negligent manner",None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,3000,2,2,Northbound (NB),POINT (-90.637522564105 41.479512203744)
20251467639,202500001115,01/28/2025,01-January,3-Tuesday,21:18,2100 Hours,District 6 (East Central),MARION,LINN,77,KACENA AVE/RED FOX WAY,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From stop sign,None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Intersection:  Other intersection (explain in narrative),Paved,,Property Damage Only,0,0,0,0,0,0,3500,2,4,Southbound (SB),POINT (-91.552575777824 42.042910678694)
20251466827,25-00683,01/28/2025,01-January,3-Tuesday,15:20,1500 Hours,District 5 (Southeast),,MONROE,IA-137,IA 137 N,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Passing:  Where prohibited by signs/markings,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,6500,2,3,Northbound (NB),POINT (-92.803134627025 41.062636389289)
20251465982,SOP25000089,01/28/2025,01-January,3-Tuesday,06:53,0600 Hours,District 6 (East Central),,CLINTON,77,270TH ST MEASURING 2506 FEET WEST FROM 285TH AVE,Non-collision events:  Overturn/rollover,On Roadway,Non-collision (single vehicle),Made improper turn,None Indicated,None apparent,Dawn,Dry,Clear,None apparent,"Non-intersection:  Driveway access (related, not in)",Paved,,Property Damage Only,0,0,0,0,0,0,10000,1,1,Southbound (SB),POINT (-90.549963719463 41.785891964719)
20251466039,25-546,01/28/2025,01-January,3-Tuesday,15:01,1500 Hours,District 3 (Northwest),,IDA,US 20,US 20 E,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Failed to keep in proper lane,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,3000,2,2,Southbound (SB),POINT (-95.648256846351 42.474319135152)
20251466114,B25-00662,01/28/2025,01-January,3-Tuesday,12:45,1200 Hours,District 1 (Central),BOONE,BOONE,77,SOUTH STORY ST,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,3500,2,4,Northbound (NB),POINT (-93.879897069485 42.048431198566)
20251466397,25-002622,01/28/2025,01-January,3-Tuesday,07:14,0700 Hours,District 1 (Central),,JASPER,77,HIGHWAY F-48 WEST,Collision with:  Animal,Unknown,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,3000,1,1,Southbound (SB),POINT (-93.204230740399 41.685259006835)
20251465949,CLP25000214,01/28/2025,01-January,3-Tuesday,06:16,0600 Hours,District 6 (East Central),CLINTON,CLINTON,77,NORTH 4TH ST AND 17TH AVE NORTH,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Improper or erratic lane changing,None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,2000,2,2,Eastbound (EB),POINT (-90.186764886879 41.864354831149)
20251468045,2025002324,01/28/2025,01-January,3-Tuesday,11:22,1100 Hours,District 1 (Central),,POLK,I-35,I 35 N 97.5 MM,Collision with:  Vehicle in traffic,On Roadway,Non-collision (single vehicle),Cargo/equipment loss or shift,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,3500,2,2,Northbound (NB),POINT (-93.570212735193 41.803170788821)
20251468552,202501197,01/28/2025,01-January,3-Tuesday,09:00,0900 Hours,District 6 (East Central),CEDAR RAPIDS,LINN,77,EDGEWOOD RD AND O AVEN NW,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Driver Distraction:  Reaching for object(s)/fallen object(s),None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,10000,2,3,Northbound (NB),POINT (-91.715937695584 41.989150304365)
20251465961,25-000932,01/28/2025,01-January,3-Tuesday,07:50,0700 Hours,District 4 (Southwest),COUNCIL BLUFFS,POTTAWATTAMIE,77,10 BLOCK BENNETT AVE,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Possible/Unknown,0,1,0,0,1,0,14000,2,2,Northbound (NB),POINT (-95.816584785748 41.258985903825)
20251466089,25-000870,01/28/2025,01-January,3-Tuesday,15:40,1500 Hours,District 4 (Southwest),RED OAK,MONTGOMERY,77,3RD ST,Collision with fixed object:  Fire hydrant,Outside trafficway,Non-collision (single vehicle),Ran off road - left,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,3500,1,1,Eastbound (EB),POINT (-95.229146151831 41.010678997721)
20251466810,OCFS2502479,01/28/2025,01-January,3-Tuesday,21:00,2100 Hours,District 5 (Southeast),OTTUMWA,WAPELLO,77,EAST ALTA VISTA AVE,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From stop sign,None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,6000,2,2,Southbound (SB),POINT (-92.405732121994 41.038328660763)
20251466112,25SC02511,01/28/2025,01-January,3-Tuesday,22:27,2200 Hours,District 3 (Northwest),SIOUX CITY,WOODBURY,77,HAMILTON BLVD,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Intersection:  T-intersection,Paved,,Property Damage Only,0,0,0,0,0,0,8000,2,2,Northbound (NB),POINT (-96.417668159587 42.522833943567)
20251466032,25-100,01/28/2025,01-January,3-Tuesday,16:11,1600 Hours,District 6 (East Central),WALCOTT,SCOTT,I-80,"RAMP I 80 W TO 60 AVE, N",Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Ran Stop Sign,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Interchange-related:  Off-ramp,Paved,,Property Damage Only,0,0,0,0,0,0,3300,2,3,Westbound (WB),POINT (-90.78296877918 41.617930660509)
20251466157,2025002366,01/28/2025,01-January,3-Tuesday,14:55,1400 Hours,District 6 (East Central),,SCOTT,I-80,I80 EB 282,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Unknown,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,6500,2,3,Southbound (SB),POINT (-90.824275747684 41.628411208963)
20251466257,25-000392,01/28/2025,01-January,3-Tuesday,12:27,1200 Hours,District 1 (Central),ANKENY,POLK,77,NE HAYES DR/E 1ST ST.,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From stop sign,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  T-intersection,Paved,,Property Damage Only,0,0,0,0,0,0,7000,2,2,Northbound (NB),POINT (-93.584167549296 41.731909502769)
20251465959,20250002294,01/28/2025,01-January,3-Tuesday,12:08,1200 Hours,District 1 (Central),DES MOINES,POLK,US 6,EUCLID AVENUE 100 FEET WEST OF 5TH AVE,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Unknown,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,2000,2,2,Southbound (SB),POINT (-93.624066463388 41.627685640696)
20251466821,2025-2110,01/28/2025,01-January,3-Tuesday,15:25,1500 Hours,District 6 (East Central),BETTENDORF,SCOTT,77,KIMBERLY RD,Non-collision events:  Overturn/rollover,On Roadway,Non-collision (single vehicle),Exceeded authorized speed,None Indicated,None apparent,Daylight,Dry,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,10000,1,1,Eastbound (EB),POINT (-90.515670755375 41.526947060628)
20251465968,20250002299,01/28/2025,01-January,3-Tuesday,12:40,1200 Hours,District 1 (Central),DES MOINES,POLK,US 6,57TH ST AND DOUGLAS AVE,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Daylight,Dry,Clear,Other (explain in narrative),Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,9000,3,3,Southbound (SB),POINT (-93.696198535165 41.629415117276)
20251466328,2025000791,01/28/2025,01-January,3-Tuesday,21:05,2100 Hours,District 6 (East Central),IOWA CITY,JOHNSON,77,BOWERY ST AND DODGE ST,Non-collision events:  Other non-collision (explain in narrative),On Roadway,Non-collision (single vehicle),FTYROW:  To pedestrian,None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Possible/Unknown,0,1,0,0,1,0,0,1,1,Southbound (SB),POINT (-91.525875465248 41.654108273581)
20251466008,2025002282,01/28/2025,01-January,3-Tuesday,07:50,0700 Hours,District 5 (Southeast),,WAPELLO,IA-16,IA 16 NB AT ENTRANCE TO CARDINAL ELEMENTARY SCHOOL,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Other intersection (explain in narrative),Paved,,Minor Injury,0,2,0,2,0,0,30000,2,2,Southbound (SB),POINT (-92.236505993076 40.963185940829)
20251466062,2025-6226,01/28/2025,01-January,3-Tuesday,09:26,0900 Hours,District 6 (East Central),DAVENPORT,SCOTT,77,WEST LOCUST ST AND GAINES ST,Collision with:  Non-motorist (see non-motorist section - NOT a unit),On Roadway,Non-collision (single vehicle),FTYROW:  To pedestrian,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Minor Injury,0,1,0,1,0,0,1000,1,1,Northbound (NB),POINT (-90.582796662499 41.538267454952)
20251465966,20250002289,01/28/2025,01-January,3-Tuesday,11:55,1100 Hours,District 1 (Central),DES MOINES,POLK,77,SE 6TH ST,Collision with fixed object:  Tree,Outside trafficway,Non-collision (single vehicle),Ran off road - left,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Minor Injury,0,1,0,1,0,0,5100,1,2,Northbound (NB),POINT (-93.605279242165 41.564807461195)
20251466031,25-0191-01,01/28/2025,01-January,3-Tuesday,17:54,1700 Hours,District 4 (Southwest),,DALLAS,77,24000 BLK 360TH ST,Collision with:  Animal,Unknown,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,2500,1,1,Southbound (SB),POINT (-93.999572612421 41.517623100011)
20251466061,2025-6180,01/28/2025,01-January,3-Tuesday,06:13,0600 Hours,District 6 (East Central),DAVENPORT,SCOTT,77,EAST LOCUST ST AND GRAND AVE,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Ran Traffic Signal,None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,20000,2,2,Northbound (NB),POINT (-90.56486459251 41.538249166458)
20251468460,202501196,01/28/2025,01-January,3-Tuesday,08:40,0800 Hours,District 6 (East Central),CEDAR RAPIDS,LINN,77,1ST AVE WEST MEASURING 288 FEET SOUTH FROM JOHNSON AVE NW,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,Glare,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,9000,2,21,Southbound (SB),POINT (-91.734615992486 41.967084748493)
20251466023,25-703,01/28/2025,01-January,3-Tuesday,15:57,1500 Hours,District 1 (Central),GRIMES,POLK,77,2000 EAST 1ST ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Made improper turn,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,"Non-intersection:  Driveway access (related, not in)",Paved,,Property Damage Only,0,0,0,0,0,0,13000,2,2,Westbound (WB),POINT (-93.767633454093 41.688407193849)
20251466019,20250002328,01/28/2025,01-January,3-Tuesday,17:02,1700 Hours,District 1 (Central),DES MOINES,POLK,77,6TH AVE AND UNIVERSITY RD,Collision with fixed object:  Fire hydrant,Shoulder,Non-collision (single vehicle),Swerving/Evasive Action,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,3000,1,1,Southbound (SB),POINT (-93.625640287512 41.612905276356)
20251466042,202500320,01/28/2025,01-January,3-Tuesday,21:05,2100 Hours,District 6 (East Central),,LINN,77,SPRINGVILLE RD,Collision with fixed object:  Ground,Outside trafficway,Non-collision (single vehicle),Ran Stop Sign,None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Intersection:  T-intersection,Paved,,Property Damage Only,0,0,0,0,0,0,2500,1,1,Northbound (NB),POINT (-91.44318131767 42.012730659952)
20251466628,25-002607,01/28/2025,01-January,3-Tuesday,16:59,1600 Hours,District 5 (Southeast),,LEE,77,255TH ST,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,6000,2,2,Southbound (SB),POINT (-91.425246748568 40.593545056087)
20251467512,SA2501226,01/28/2025,01-January,3-Tuesday,07:32,0700 Hours,District 5 (Southeast),,WASHINGTON,IA-1,IA 1 N,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Made improper turn,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Possible/Unknown,0,2,0,0,2,0,50000,2,4,Northbound (NB),POINT (-91.715777729886 41.337145839934)
20251466015,W25-007437,01/28/2025,01-January,3-Tuesday,12:21,1200 Hours,District 2 (Northeast),WATERLOO,BLACK HAWK,77,WEST AIRLINE HIGHWAY AND WAGNER RD,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Ran Traffic Signal,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,13500,2,2,Southbound (SB),POINT (-92.377028631911 42.541957256006)
20251466194,2025-6346,01/28/2025,01-January,3-Tuesday,20:34,2000 Hours,District 6 (East Central),DAVENPORT,SCOTT,77,FAIRMOUNT ST AND WEST CENTRAL PARK AVE,Collision with:  Non-motorist (see non-motorist section - NOT a unit),On Roadway,Non-collision (single vehicle),FTYROW:  To pedestrian,None Indicated,None apparent,Dark - roadway not lighted,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Possible/Unknown,0,1,0,0,1,0,0,1,1,Northbound (NB),POINT (-90.629718048527 41.545387106987)
20251466130,2025002281,01/28/2025,01-January,3-Tuesday,07:50,0700 Hours,District 1 (Central),,POLK,I-80,I 80 W MM 134.7,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,5500,2,2,Westbound (WB),POINT (-93.654259109582 41.65026986375)
20251466160,S25-007562,01/28/2025,01-January,3-Tuesday,18:15,1800 Hours,District 2 (Northeast),,BLACK HAWK,US 218,US 218 S,Collision with:  Animal,Unknown,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,4000,1,1,Northbound (NB),POINT (-92.238910286324 42.37035368242)
20251465940,25-0036,01/28/2025,01-January,3-Tuesday,06:55,0600 Hours,District 1 (Central),,WEBSTER,IA-175,2900 M IA 175 E,Collision with:  Animal,Unknown,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,5000,1,1,Southbound (SB),POINT (-94.021777930486 42.245961520669)
20251466480,25-00122,01/29/2025,01-January,4-Wednesday,01:04,0100 Hours,District 1 (Central),CLIVE,POLK,77,NW 90TH ST/CARPENTER,Collision with:  Parked motor vehicle,On Roadway,"Sideswipe, same direction",Driver Distraction:  Other electronic device activity,Alcohol (< Statutory),None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,16500,2,1,Northbound (NB),POINT (-93.742355002135 41.600843749327)
20251466199,25-000387,01/29/2025,01-January,4-Wednesday,18:12,1800 Hours,District 3 (Northwest),,LYON,IA-9,IA 9 E MEASURING 582 FEET EAST FROM LARCH AVE,Collision with:  Animal,On Roadway,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,5000,1,1,Southbound (SB),POINT (-95.937994065504 43.432613831276)
20251466268,25012001,01/29/2025,01-January,4-Wednesday,12:33,1200 Hours,District 4 (Southwest),CLARINDA,PAGE,77,WEST WASHINGTON ST,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),FTYROW:  From parked position,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Other non-intersection (explain in narrative),Paved,,Property Damage Only,0,0,0,0,0,0,4200,2,2,Southbound (SB),POINT (-95.038178010057 40.739285449974)
20251466325,202500001274,01/29/2025,01-January,4-Wednesday,11:21,1100 Hours,District 4 (Southwest),,DALLAS,77,T AVE,Collision with fixed object:  Ditch,On Roadway,Non-collision (single vehicle),Ran off road - right,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Minor Injury,0,1,0,1,0,0,3020,1,1,Northbound (NB),POINT (-93.911478109561 41.718160287816)
20251466394,2500314,01/29/2025,01-January,4-Wednesday,17:28,1700 Hours,District 1 (Central),AMES,STORY,77,RIDGEWOOD AVE,Collision with:  Vehicle in traffic,On Roadway,Other (explain in narrative),FTYROW:  From stop sign,None Indicated,None apparent,Dusk,Dry,Clear,None apparent,"Non-intersection:  Driveway access (related, not in)",Paved,,Property Damage Only,0,0,0,0,0,0,4000,2,2,Northbound (NB),POINT (-93.630419855728 42.039111756288)
20251466182,25-729,01/29/2025,01-January,4-Wednesday,16:44,1600 Hours,District 1 (Central),GRIMES,POLK,77,SE 19TH ST / SE GRIMES BLVD,Collision with:  Vehicle in traffic,On Roadway,Other (explain in narrative),Made improper turn,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,3000,2,2,Westbound (WB),POINT (-93.774574069744 41.672985549644)
20251466883,2025002483,01/29/2025,01-January,4-Wednesday,18:20,1800 Hours,District 6 (East Central),,IOWA,US 6,WB US 151/W OF V AVE,Collision with:  Animal,Unknown,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,7000,1,1,Southbound (SB),POINT (-91.895798396143 41.766187875243)
20251466681,25-000948,01/29/2025,01-January,4-Wednesday,04:14,0400 Hours,District 2 (Northeast),,CLAYTON,IA-13,IA 13 N,Collision with fixed object:  Ditch,On Roadway,Non-collision (single vehicle),Ran Stop Sign,None Indicated,None apparent,Dark - roadway not lighted,Dry,Clear,None apparent,Intersection:  T-intersection,Paved,,Property Damage Only,0,0,0,0,0,0,70000,1,1,Northbound (NB),POINT (-91.409010451698 42.819586389728)
20251466408,2025-00119,01/29/2025,01-January,4-Wednesday,22:39,2200 Hours,District 4 (Southwest),URBANDALE,DALLAS,77,156TH ST,Collision with:  Animal,On Roadway,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,1500,1,1,Northbound (NB),POINT (-93.833547574323 41.629230777944)
20251466266,25000583,01/29/2025,01-January,4-Wednesday,12:08,1200 Hours,District 2 (Northeast),,MITCHELL,US 218,US 218 N,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Exceeded authorized speed,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Possible/Unknown,0,2,0,0,2,0,40000,2,2,Northbound (NB),POINT (-92.810441219017 43.356498217966)
20251466270,2501295,01/29/2025,01-January,4-Wednesday,11:02,1100 Hours,District 5 (Southeast),WASHINGTON,WASHINGTON,77,SOUTH 3RD AVE,Collision with fixed object:  Building,Outside trafficway,Non-collision (single vehicle),Ran off road - straight,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Major Injury,0,1,1,0,0,0,40000,1,1,Northbound (NB),POINT (-91.689559487428 41.289903488863)
20251467516,2025-6426,01/29/2025,01-January,4-Wednesday,08:20,0800 Hours,District 6 (East Central),DAVENPORT,SCOTT,77,WEST 12TH ST AND NORTH DIVISION ST,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  T-intersection,Paved,,Property Damage Only,0,0,0,0,0,0,2300,2,2,Northbound (NB),POINT (-90.601218634117 41.532168793309)
20251467346,2025002486,01/29/2025,01-January,4-Wednesday,19:58,1900 Hours,District 4 (Southwest),,DALLAS,I-80,INTERSTATE 80 WB AT MM 113,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Dark - roadway not lighted,Dry,Clear,Work Zone (roadway-related),Non-intersection:  Non-junction/no special feature,Paved,Yes,Fatal,1,0,0,0,0,0,6500,2,2,Westbound (WB),POINT (-93.963102607293 41.545811751063)
20251466220,25-000105,01/29/2025,01-January,4-Wednesday,17:48,1700 Hours,District 1 (Central),,STORY,US 30,US 30 W,Non-collision events:  Other non-collision (explain in narrative),Gore,Non-collision (single vehicle),Ran off road - left,None Indicated,None apparent,Dusk,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Major Injury,0,1,1,0,0,0,1500,1,1,Westbound (WB),POINT (-93.537375916825 42.008989720847)
