Iowa DOT Case Number,Law Enforcement Case Number,Date of Crash,Month of Crash,Day of Week,Time of Crash,Hour,DOT District,City Name,County Name,Route with System,Location Description,First Harmful Event,Location of First Harmful Event,Manner of Crash/Collision,Major Cause,Drug or Alcohol ,Environmental Conditions,Light Conditions,Surface Conditions,Weather Conditions,Roadway Contribution,Roadway Type,Roadway Surface,Work Zone,Crash Severity,Number of Fatalities,Number of Injuries,Number of Major Injuries,Number of Minor Injuries,Number of Possible Injuries,Number of Unknown Injuries,Amount of Property Damage,Number of Vehicles Involved,Total Number of Occupants,Travel Direction,Location
2014783236,14-2922,02/04/2014,02-February,3-Tuesday,22:45,2200 Hours,District 1 (Central),KELLOGG,JASPER,I-80,I-80,Collision with fixed object:  Guardrail - face,Median,Non-collision (single vehicle),Lost Control,None Indicated,,Dark - roadway not lighted,Snow,Snow,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,5000,1,1,,POINT (-92.895923659802 41.683015451949)
2014784351,14027,02/04/2014,02-February,3-Tuesday,18:37,1800 Hours,District 5 (Southeast),PELLA,MARION,,UNIVERSITY ST & BROADWAY ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Ran Stop Sign,None Indicated,,Dark - roadway lighted,Snow,Snow,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,10250,4,2,,POINT (-92.918316372927 41.400183558675)
2014788227,2014008166,02/04/2014,02-February,3-Tuesday,15:00,1500 Hours,District 4 (Southwest),,ADAIR,I-80,I-80,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Driving too fast for conditions,None Indicated,,Daylight,Ice/frost,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,8000,2,2,,POINT (-94.477709519944 41.496007867036)
2014788226,2014008062,02/04/2014,02-February,3-Tuesday,08:50,0800 Hours,District 1 (Central),ANKENY,POLK,I-35,I-35,Collision with:  Parked motor vehicle,Shoulder,Unknown,Driving too fast for conditions,None Indicated,,Daylight,Ice/frost,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Possible/Unknown,0,1,0,0,1,0,5000,2,2,,POINT (-93.569423175235 41.760202498326)
2014783320,14-0612,02/04/2014,02-February,3-Tuesday,08:40,0800 Hours,District 4 (Southwest),WEST DES MOINES,DALLAS,,ASHWORTH RD,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Driving too fast for conditions,None Indicated,,Daylight,Snow,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,2500,2,2,,POINT (-93.803971018869 41.583162554487)
2014783428,14-0344,02/04/2014,02-February,3-Tuesday,20:00,2000 Hours,District 1 (Central),FORT DODGE,WEBSTER,,1ST AVE S & S 29TH ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Ran Traffic Signal,None Indicated,,Dark - roadway lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,10000,2,3,,POINT (-94.158328487843 42.505240508068)
2014786525,,02/04/2014,02-February,3-Tuesday,15:26,1500 Hours,District 4 (Southwest),EXIRA,AUDUBON,US 71,US 71 & IA 44/IOWA 44,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From stop sign,None Indicated,,Daylight,Snow,Snow,None apparent,Intersection:  T-intersection,Paved,,Property Damage Only,0,0,0,0,0,0,2200,2,3,,POINT (-94.905151931811 41.666810569305)
2014786105,2014008014,02/04/2014,02-February,3-Tuesday,07:15,0700 Hours,District 6 (East Central),,JOHNSON,I-380,I-380,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Lost Control,None Indicated,,Daylight,Dry,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,3500,2,2,,POINT (-91.668859195964 41.86077541542)
2014783312,14-0242,02/04/2014,02-February,3-Tuesday,15:32,1500 Hours,District 1 (Central),URBANDALE,POLK,I-35,I-35 & 86TH ST,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Lost Control,None Indicated,,Daylight,Snow,Snow,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,2000,2,2,,POINT (-93.736411192001 41.65219580615)
2014784675,,02/04/2014,02-February,3-Tuesday,13:33,1300 Hours,District 5 (Southeast),CHARITON,LUCAS,,BRADEN AVE & N 13TH ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From stop sign,None Indicated,,Daylight,Snow,Snow,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,3500,2,2,,POINT (-93.313040682025 41.015627023029)
2014783200,W14-011688,02/04/2014,02-February,3-Tuesday,15:46,1500 Hours,District 2 (Northeast),WATERLOO,BLACK HAWK,,RANDOLPH ST,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Other (explain in narrative):  Other,None Indicated,,Daylight,Snow,Cloudy,"Surface condition (e.g., wet, icy)",Non-intersection:  Alley,Paved,,Property Damage Only,0,0,0,0,0,0,2000,2,4,,POINT (-92.339167808214 42.48165842117)
2014783035,20140003111,02/04/2014,02-February,3-Tuesday,04:08,0400 Hours,District 1 (Central),DES MOINES,POLK,,DES MOINES ST,Collision with fixed object:  Tree,Outside trafficway,Non-collision (single vehicle),Driving too fast for conditions,Alcohol (Statutory),,Dark - roadway lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Minor Injury,0,1,0,1,0,0,5050,1,1,,POINT (-93.594536366893 41.595227019502)
2014784069,2014008049,02/04/2014,02-February,3-Tuesday,08:42,0800 Hours,District 1 (Central),,POLK,I-35,I-35,Collision with fixed object:  Concrete traffic barrier (median or right side),On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Daylight,Ice/frost,Clear,"Surface condition (e.g., wet, icy)",Non-intersection:  Other non-intersection (explain in narrative),Paved,,Possible/Unknown,0,1,0,0,1,0,5000,1,1,,POINT (-93.666525150194 41.650730813113)
2014786423,14-000524,02/04/2014,02-February,3-Tuesday,15:54,1500 Hours,District 1 (Central),AMES,STORY,,KNAPP ST & STANTON AVE,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From stop sign,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,5000,2,3,,POINT (-93.648496806791 42.019124557762)
2014783833,14-2893,02/04/2014,02-February,3-Tuesday,16:45,1600 Hours,District 1 (Central),,JASPER,I-80,I-80,Collision with fixed object:  Guardrail - face,Shoulder,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,9900,1,1,,POINT (-93.31589896347 41.68167368023)
2014786470,2014008121,02/04/2014,02-February,3-Tuesday,13:27,1300 Hours,District 1 (Central),URBANDALE,POLK,I-35,I-35,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Driving too fast for conditions,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,7000,2,2,,POINT (-93.731332588147 41.652318302743)
2014783329,14-004599,02/04/2014,02-February,3-Tuesday,13:43,1300 Hours,District 4 (Southwest),COUNCIL BLUFFS,POTTAWATTAMIE,,GLEASON AVE & FRANKLIN AVE & LINCOLN AVE,Collision with:  Parked motor vehicle,On Roadway,"Sideswipe, same direction",Other (explain in narrative):  Other,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Intersection:  T-intersection,Paved,,Property Damage Only,0,0,0,0,0,0,1600,2,2,,POINT (-95.831794010974 41.261278365292)
2014783303,20140003155,02/04/2014,02-February,3-Tuesday,14:35,1400 Hours,District 1 (Central),DES MOINES,POLK,I-235,I-235,Collision with fixed object:  Concrete traffic barrier (median or right side),On Roadway,Non-collision (single vehicle),Swerving/Evasive Action,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Possible/Unknown,0,1,0,0,1,0,3000,1,1,,POINT (-93.68048185159 41.591552874388)
2014783447,14-3522,02/04/2014,02-February,3-Tuesday,17:52,1700 Hours,District 3 (Northwest),SIOUX CITY,WOODBURY,,6TH ST & JACKSON ST,Non-collision events:  Other non-collision (explain in narrative),On Roadway,Non-collision (single vehicle),Ran off road - right,None Indicated,,Dark - roadway lighted,Ice/frost,"Sleet, hail","Surface condition (e.g., wet, icy)",Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,1700,1,1,,POINT (-96.401999260344 42.496341145775)
2014783299,14-0143,02/04/2014,02-February,3-Tuesday,11:05,1100 Hours,District 1 (Central),CLIVE,POLK,,SUMMIT DR & NW 86TH ST,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Lost Control,None Indicated,,Daylight,Snow,Snow,None apparent,Non-intersection:  Driveway access (within),Paved,,Property Damage Only,0,0,0,0,0,0,7500,2,3,,POINT (-93.736459497289 41.613194506815)
2014784026,2014008273,02/04/2014,02-February,3-Tuesday,21:25,2100 Hours,District 5 (Southeast),,WARREN,I-35,I-35,Collision with fixed object:  Traffic sign support,On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Dark - roadway not lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,2100,1,1,,POINT (-93.780173796064 41.496721417884)
2014783220,14-000965,02/04/2014,02-February,3-Tuesday,16:50,1600 Hours,District 6 (East Central),MANCHESTER,DELAWARE,,E HOWARD ST,Collision with:  Parked motor vehicle,Shoulder,"Sideswipe, opposite direction",FTYROW:  From driveway,None Indicated,,Dusk,Slush,Cloudy,None apparent,Non-intersection:  Driveway access (within),Paved,,Property Damage Only,0,0,0,0,0,0,2000,2,1,,POINT (-91.456082342345 42.486699217892)
2014784880,,02/04/2014,02-February,3-Tuesday,06:06,0600 Hours,District 5 (Southeast),,VAN BUREN,IA 1,IA 1/IOWA 1,Collision with:  Animal,On Roadway,Non-collision (single vehicle),Animal,None Indicated,,Dark - roadway not lighted,Dry,Cloudy,,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,7000,1,1,,POINT (-91.934523067441 40.7750320376)
2014783258,2014001298,02/04/2014,02-February,3-Tuesday,15:45,1500 Hours,District 6 (East Central),IOWA CITY,JOHNSON,,OLD HIGHWAY 218 & MCCOLLISTER BLVD & MORMON TREK BLVD,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Crossed centerline (undivided),None Indicated,,Daylight,Snow,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,3500,2,4,,POINT (-91.542300469347 41.631377259557)
2014788200,2014008022,02/04/2014,02-February,3-Tuesday,07:23,0700 Hours,District 4 (Southwest),,DALLAS,I-80,I-80,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Driving too fast for conditions,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,6500,2,3,,POINT (-93.92561886846 41.553928872747)
2014783426,14-0342,02/04/2014,02-February,3-Tuesday,17:45,1700 Hours,District 1 (Central),FORT DODGE,WEBSTER,,20TH AVE N & N 15TH ST,Collision with:  Vehicle in traffic,On Roadway,"Angle, oncoming left turn",Other (explain in narrative):  Other,None Indicated,,Dark - roadway lighted,Dry,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,10000,2,2,,POINT (-94.178029019591 42.526374146647)
2014783449,14-3540,02/04/2014,02-February,3-Tuesday,22:07,2200 Hours,District 3 (Northwest),SIOUX CITY,WOODBURY,IA 12,IA 12/GORDON DR,Collision with:  Other non-fixed object (explain in narrative),Roadside,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Dark - roadway lighted,Snow,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,6100,1,3,,POINT (-96.371832631808 42.4895077928)
2014785452,14-011828,02/04/2014,02-February,3-Tuesday,23:18,2300 Hours,District 2 (Northeast),,BLACK HAWK,,Co Rd V14/WAVERLY RD,Collision with fixed object:  Mailbox,Shoulder,Non-collision (single vehicle),Ran off road - right,None Indicated,,Dark - roadway lighted,Snow,Snow,None apparent,Non-intersection:  Driveway access (within),Paved,,Property Damage Only,0,0,0,0,0,0,3400,1,1,,POINT (-92.45570908798 42.585999820943)
2014783235,14-2852,02/04/2014,02-February,3-Tuesday,05:00,0500 Hours,District 1 (Central),COLFAX,JASPER,I-80,I-80,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Driving too fast for conditions,None Indicated,,Dark - roadway not lighted,Snow,Snow,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,4500,2,2,,POINT (-93.25723842987 41.689908365475)
2014784309,14-003243,02/04/2014,02-February,3-Tuesday,23:42,2300 Hours,District 5 (Southeast),,LEE,,BLUFF RD,Collision with:  Animal,,,Animal,None Indicated,,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,6000,1,1,,POINT (-91.373550564266 40.634284655493)
2014784562,2014-7827,02/04/2014,02-February,3-Tuesday,17:43,1700 Hours,District 6 (East Central),DAVENPORT,SCOTT,,E LOCUST ST & VIRGINIA AVE,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,,Dark - roadway lighted,Snow,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Possible/Unknown,0,1,0,0,1,0,2000,2,2,,POINT (-90.571840296625 41.538270644266)
2014783741,2014008193,02/04/2014,02-February,3-Tuesday,15:43,1500 Hours,District 5 (Southeast),,LEE,US 218,US 218 & IA 16/IOWA 16,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Driving too fast for conditions,None Indicated,,Daylight,Snow,Snow,None apparent,Non-intersection:  Crossover-related,Paved,,Property Damage Only,0,0,0,0,0,0,12500,2,6,,POINT (-91.564251104317 40.784495036333)
2014784579,201400005805,02/04/2014,02-February,3-Tuesday,13:46,1300 Hours,District 5 (Southeast),OTTUMWA,WAPELLO,,N JEFFERSON ST & NORRIS ST,Collision with fixed object:  Utility pole/light support,Roadside,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,5450,1,1,,POINT (-92.402553747771 41.020106810156)
2014783959,2014-7861,02/04/2014,02-February,3-Tuesday,23:11,2300 Hours,District 6 (East Central),DAVENPORT,SCOTT,,FAIRMOUNT ST,Non-collision events:  Other non-collision (explain in narrative),On Roadway,Non-collision (single vehicle),Ran off road - left,None Indicated,,Dark - roadway lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,2000,1,1,,POINT (-90.629667441015 41.54841220851)
2014789854,2014-0038,02/04/2014,02-February,3-Tuesday,06:25,0600 Hours,District 4 (Southwest),VAN METER,DALLAS,,RICHLAND DR,Collision with:  Animal,On Roadway,Non-collision (single vehicle),Animal,None Indicated,,Dark - roadway not lighted,Snow,Snow,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,2000,1,1,,POINT (-93.947413370709 41.524811091654)
2014783313,14-0620,02/04/2014,02-February,3-Tuesday,16:29,1600 Hours,District 1 (Central),WEST DES MOINES,POLK,I-35,I-35,Collision with fixed object:  Ditch,On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Daylight,Snow,Snow,None apparent,Interchange-related:  On-ramp merge area,Paved,,Property Damage Only,0,0,0,0,0,0,10000,1,1,,POINT (-93.77947791258 41.594464139217)
2014783271,201401721,02/04/2014,02-February,3-Tuesday,14:20,1400 Hours,District 6 (East Central),CEDAR RAPIDS,LINN,,B AVE NE,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Improper or erratic lane changing,None Indicated,,Daylight,Snow,Snow,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,7000,2,2,,POINT (-91.670179011582 41.98066758836)
2014784502,S14-000348,02/04/2014,02-February,3-Tuesday,16:30,1600 Hours,District 4 (Southwest),UNDERWOOD,POTTAWATTAMIE,,Co Rd G36/IDLEWOOD RD,Collision with:  Vehicle in traffic,On Roadway,Head-on (front to front),Crossed centerline (undivided),None Indicated,,Daylight,Snow,Snow,None apparent,Non-intersection:  Non-junction/no special feature,Unpaved,,Property Damage Only,0,0,0,0,0,0,8000,2,2,,POINT (-95.732889618275 41.336361279188)
2014788270,,02/04/2014,02-February,3-Tuesday,08:05,0800 Hours,District 2 (Northeast),MONONA,CLAYTON,,Co Rd X26/FALCON AVE & 125TH ST & W SPRUCE ST & S MAIN ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From stop sign,None Indicated,,Daylight,Other (explain in narrative),Clear,None apparent,Intersection:  Other intersection (explain in narrative),Paved,,Property Damage Only,0,0,0,0,0,0,8500,2,2,,POINT (-91.389775476674 43.044593922484)
2014787333,14-050204-01,02/04/2014,02-February,3-Tuesday,14:45,1400 Hours,District 6 (East Central),,IOWA,,Co Rd F15/F15 BLVD,Collision with fixed object:  Traffic sign support,Roadside,Non-collision (single vehicle),Swerving/Evasive Action,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,1700,1,1,,POINT (-92.061663590827 41.823135575631)
2014783227,01-14-5034,02/04/2014,02-February,3-Tuesday,10:00,1000 Hours,District 6 (East Central),DUBUQUE,DUBUQUE,,BELLEVUE RD,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Lost Control,None Indicated,,Daylight,Wet,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,4000,2,2,,POINT (-90.677163579695 42.461253780475)
2014783295,14-000514,02/04/2014,02-February,3-Tuesday,08:07,0800 Hours,District 1 (Central),ANKENY,POLK,I-35,I-35,Collision with fixed object:  Guardrail - face,Median,Non-collision (single vehicle),Lost Control,None Indicated,,Daylight,Ice/frost,Snow,"Surface condition (e.g., wet, icy)",Intersection:  Intersection with ramp,Paved,,Property Damage Only,0,0,0,0,0,0,6000,1,1,,POINT (-93.571164823473 41.755834466507)
2014783912,14-0233,02/04/2014,02-February,3-Tuesday,07:41,0700 Hours,District 1 (Central),URBANDALE,POLK,I-35,I-35,Collision with fixed object:  Concrete traffic barrier (median or right side),Median,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Daylight,Snow,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Minor Injury,0,1,0,1,0,0,10000,1,1,,POINT (-93.745787159297 41.651901167395)
2014783448,14-3525,02/04/2014,02-February,3-Tuesday,18:46,1800 Hours,District 3 (Northwest),SIOUX CITY,WOODBURY,,TRANSIT AVE & S ALICE ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Lost Control,None Indicated,,Dark - roadway lighted,Ice/frost,Snow,"Surface condition (e.g., wet, icy)",Intersection:  T-intersection,Paved,,Property Damage Only,0,0,0,0,0,0,4000,2,5,,POINT (-96.369210472311 42.471044677814)
2014784208,01-14-5054,02/04/2014,02-February,3-Tuesday,12:53,1200 Hours,District 6 (East Central),DUBUQUE,DUBUQUE,,E COMMERCIAL ST,Collision with fixed object:  Other fixed object (explain in narrative),Shoulder,Non-collision (single vehicle),Ran off road - left,None Indicated,,Daylight,Snow,Cloudy,None apparent,Non-intersection:  Railroad grade crossing,Paved,,Property Damage Only,0,0,0,0,0,0,5000,1,1,,POINT (-90.656716079924 42.501090763015)
2014793346,2014020403,02/04/2014,02-February,3-Tuesday,15:25,1500 Hours,District 4 (Southwest),SHENANDOAH,PAGE,,W LOWELL AVE & N SYCAMORE ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Separation of units,None Indicated,,Daylight,Snow,Cloudy,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,3500,2,3,,POINT (-95.371234308089 40.766860859203)
2014783775,W14-011706,02/04/2014,02-February,3-Tuesday,16:37,1600 Hours,District 2 (Northeast),WATERLOO,BLACK HAWK,,E SAN MARNAN DR & SEARS ST,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Other (explain in narrative):  Other,None Indicated,,Daylight,Dry,Cloudy,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,4000,2,3,,POINT (-92.323523313637 42.465653785408)
2014787725,20140414,02/04/2014,02-February,3-Tuesday,09:35,0900 Hours,District 1 (Central),,GRUNDY,,Co Rd T29/K AVE,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From driveway,None Indicated,,Daylight,Wet,Cloudy,None apparent,Non-intersection:  Driveway access (within),Paved,,Property Damage Only,0,0,0,0,0,0,34800,2,2,,POINT (-92.82604293856 42.228747936279)
2014783047,20140003103,02/04/2014,02-February,3-Tuesday,00:28,0000 Hours,District 1 (Central),DES MOINES,POLK,,MADISON AVE & BEAVER AVE,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, opposite direction",Crossed centerline (undivided),None Indicated,,Dark - roadway lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,13000,2,6,,POINT (-93.6780736259 41.633135339244)
2014788588,2014008050,02/04/2014,02-February,3-Tuesday,08:45,0800 Hours,District 1 (Central),,POLK,I-35,I-35,Collision with fixed object:  Concrete traffic barrier (median or right side),On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Daylight,Snow,Snow,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,3800,1,1,,POINT (-93.696838868538 41.652082245626)
2014783914,14-0235,02/04/2014,02-February,3-Tuesday,08:45,0800 Hours,District 1 (Central),URBANDALE,POLK,I-35,I-35,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Crossed centerline (undivided),None Indicated,,Daylight,Snow,Snow,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,6000,2,3,,POINT (-93.746567605801 41.651887093296)
2014783331,14-004602,02/04/2014,02-February,3-Tuesday,14:27,1400 Hours,District 4 (Southwest),COUNCIL BLUFFS,POTTAWATTAMIE,US 6,US 6/W BROADWAY,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Driving too fast for conditions,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,1500,2,3,,POINT (-95.874346551874 41.261862189906)
2014783224,01-14-5072,02/04/2014,02-February,3-Tuesday,15:35,1500 Hours,District 6 (East Central),DUBUQUE,DUBUQUE,,W 9TH ST,Collision with fixed object:  Utility pole/light support,On Roadway,Non-collision (single vehicle),Crossed centerline (undivided),None Indicated,,Daylight,Slush,Cloudy,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,3000,1,1,,POINT (-90.671643713536 42.500233495802)
2014786182,CL14000350,02/04/2014,02-February,3-Tuesday,18:25,1800 Hours,District 6 (East Central),CLINTON,CLINTON,US 67,US 67/S 2ND ST,Collision with:  Parked motor vehicle,On Roadway,"Sideswipe, same direction",Unknown,None Indicated,,Dark - roadway lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,1500,2,1,,POINT (-90.188300939404 41.844705977425)
2014785186,2014008266,02/04/2014,02-February,3-Tuesday,20:45,2000 Hours,District 6 (East Central),,CEDAR,I-80,I-80,Collision with fixed object:  Guardrail - face,Median,Non-collision (single vehicle),Crossed centerline (undivided),None Indicated,,Dark - roadway not lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,13000,1,1,,POINT (-90.965450450249 41.633573510412)
2014783632,20140003187,02/04/2014,02-February,3-Tuesday,22:32,2200 Hours,District 1 (Central),DES MOINES,POLK,,HUBBELL AVE & E 27TH ST,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Driving too fast for conditions,None Indicated,,Dark - roadway lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,4500,2,3,,POINT (-93.563618372519 41.619035743398)
2014783668,14-0117,02/04/2014,02-February,3-Tuesday,11:54,1100 Hours,District 1 (Central),PLEASANT HILL,POLK,IA 163,IA 163/E UNIVERSITY AVE,Collision with fixed object:  Utility pole/light support,On Roadway,Non-collision (single vehicle),Crossed centerline (undivided),None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Possible/Unknown,0,2,0,0,2,0,5000,1,3,,POINT (-93.510491674891 41.599251837844)
2014786986,,02/04/2014,02-February,3-Tuesday,09:02,0900 Hours,District 2 (Northeast),CHARLES CITY,FLOYD,,HULIN ST & HARWOOD ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Lost Control,None Indicated,,Daylight,Snow,Clear,"Surface condition (e.g., wet, icy)",Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,2500,2,2,,POINT (-92.672993173837 43.068891421186)
2014784632,2014008247,02/04/2014,02-February,3-Tuesday,19:47,1900 Hours,District 1 (Central),ALTOONA,POLK,I-80,I-80,Collision with fixed object:  Concrete traffic barrier (median or right side),On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Dark - roadway lighted,Ice/frost,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,4000,1,1,,POINT (-93.480480421348 41.662296546431)
2014784691,14001587,02/04/2014,02-February,3-Tuesday,00:10,0000 Hours,District 5 (Southeast),,APPANOOSE,,Co Rd J5T/HWY J5T,Collision with fixed object:  Ditch,Shoulder,Non-collision (single vehicle),Crossed centerline (undivided),None Indicated,,Dark - roadway not lighted,Wet,Snow,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Minor Injury,0,1,0,1,0,0,6000,1,1,,POINT (-92.915460842235 40.812341805302)
2014783007,14-001353,02/04/2014,02-February,3-Tuesday,00:11,0000 Hours,District 4 (Southwest),GLENWOOD,MILLS,,4TH ST & N WALNUT ST,Collision with fixed object:  Utility pole/light support,On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Dark - roadway lighted,Snow,Snow,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,1500,1,1,,POINT (-95.743461840638 41.050619924387)
